og			1	danish::news_top_500
i			2	danish::news_top_500
til			3	danish::news_top_500
for			4	danish::news_top_500
på			5	danish::news_top_500
at			6	danish::news_top_500
af			7	danish::news_top_500
med			8	danish::news_top_500
er			9	danish::news_top_500
en			10	danish::news_top_500
om			11	danish::news_top_500
det			12	danish::news_top_500
skal			13	danish::news_top_500
der			14	danish::news_top_500
den			15	danish::news_top_500
ny			16	danish::news_top_500
har			17	danish::news_top_500
fra			18	danish::news_top_500
de			19	danish::news_top_500
som			20	danish::news_top_500
et			21	danish::news_top_500
nu			22	danish::news_top_500
kan			23	danish::news_top_500
nye			24	danish::news_top_500
elever			25	danish::news_top_500
regeringen			26	danish::news_top_500
skoler			27	danish::news_top_500
børn			28	danish::news_top_500
viser			29	danish::news_top_500
flere			30	danish::news_top_500
år			31	danish::news_top_500
unge			32	danish::news_top_500
dagtilbud			33	danish::news_top_500
undervisningsministeriet			34	danish::news_top_500
ikke			35	danish::news_top_500
vil			36	danish::news_top_500
blandt			37	danish::news_top_500
nyt			38	danish::news_top_500
aftale			39	danish::news_top_500
folkeskolen			40	danish::news_top_500
undervisning			41	danish::news_top_500
mere			42	danish::news_top_500
over			43	danish::news_top_500
anbefalinger			44	danish::news_top_500
kommuner			45	danish::news_top_500
deres			46	danish::news_top_500
efter			47	danish::news_top_500
får			48	danish::news_top_500
erhvervsuddannelserne			49	danish::news_top_500
styrke			50	danish::news_top_500
alle			51	danish::news_top_500
kroner			52	danish::news_top_500
undervisningsområdet			53	danish::news_top_500
række			54	danish::news_top_500
få			55	danish::news_top_500
klar			56	danish::news_top_500
kvalitet			57	danish::news_top_500
millioner			58	danish::news_top_500
styrelsen			59	danish::news_top_500
tiltag			60	danish::news_top_500
undervisningsministeren			61	danish::news_top_500
ved			62	danish::news_top_500
landets			63	danish::news_top_500
klasse			64	danish::news_top_500
end			65	danish::news_top_500
andet			66	danish::news_top_500
være			67	danish::news_top_500
bliver			68	danish::news_top_500
hvordan			69	danish::news_top_500
bedre			70	danish::news_top_500
eller			71	danish::news_top_500
gang			72	danish::news_top_500
institutioner			73	danish::news_top_500
dansk			74	danish::news_top_500
lærere			75	danish::news_top_500
flertal			76	danish::news_top_500
danmark			77	danish::news_top_500
marts			78	danish::news_top_500
mulighed			79	danish::news_top_500
mod			80	danish::news_top_500
arbejde			81	danish::news_top_500
hvor			82	danish::news_top_500
sikre			83	danish::news_top_500
op			84	danish::news_top_500
uddannelsesinstitutioner			85	danish::news_top_500
derfor			86	danish::news_top_500
blevet			87	danish::news_top_500
trivsel			88	danish::news_top_500
folkeskolens			89	danish::news_top_500
sig			90	danish::news_top_500
blev			91	danish::news_top_500
tal			92	danish::news_top_500
fortsat			93	danish::news_top_500
to			94	danish::news_top_500
enige			95	danish::news_top_500
komme			96	danish::news_top_500
danske			97	danish::news_top_500
mange			98	danish::news_top_500
tidligere			99	danish::news_top_500
pædagogiske			100	danish::news_top_500
andre			101	danish::news_top_500
men			102	danish::news_top_500
tilbage			103	danish::news_top_500
erhvervsuddannelser			104	danish::news_top_500
se			105	danish::news_top_500
her			106	danish::news_top_500
besluttet			107	danish::news_top_500
undersøgelse			108	danish::news_top_500
også			109	danish::news_top_500
giver			110	danish::news_top_500
indgået			111	danish::news_top_500
rapport			112	danish::news_top_500
eleverne			113	danish::news_top_500
bredt			114	danish::news_top_500
første			115	danish::news_top_500
opdateret			116	danish::news_top_500
ungdomsuddannelser			117	danish::news_top_500
fgu			118	danish::news_top_500
folkeparti			119	danish::news_top_500
kl			120	danish::news_top_500
så			121	danish::news_top_500
frem			122	danish::news_top_500
du			123	danish::news_top_500
grundskoler			124	danish::news_top_500
forsøg			125	danish::news_top_500
undervisningsministeriets			126	danish::news_top_500
genåbning			127	danish::news_top_500
dag			128	danish::news_top_500
give			129	danish::news_top_500
hele			130	danish::news_top_500
kommune			131	danish::news_top_500
prøver			132	danish::news_top_500
elevernes			133	danish::news_top_500
tre			134	danish::news_top_500
når			135	danish::news_top_500
danmarks			136	danish::news_top_500
ekspertgruppe			137	danish::news_top_500
undervisningen			138	danish::news_top_500
udvikling			139	danish::news_top_500
fokus			140	danish::news_top_500
januar			141	danish::news_top_500
grundskolen			142	danish::news_top_500
ordblindhed			143	danish::news_top_500
skole			144	danish::news_top_500
restriktioner			145	danish::news_top_500
faglige			146	danish::news_top_500
nationale			147	danish::news_top_500
folketinget			148	danish::news_top_500
uddannelser			149	danish::news_top_500
regler			150	danish::news_top_500
læring			151	danish::news_top_500
ud			152	danish::news_top_500
have			153	danish::news_top_500
både			154	danish::news_top_500
forlænges			155	danish::news_top_500
brug			156	danish::news_top_500
mellem			157	danish::news_top_500
procent			158	danish::news_top_500
ungdomsuddannelserne			159	danish::news_top_500
blive			160	danish::news_top_500
digitale			161	danish::news_top_500
kommunerne			162	danish::news_top_500
sidste			163	danish::news_top_500
partier			164	danish::news_top_500
støtte			165	danish::news_top_500
folkeskoler			166	danish::news_top_500
venstre			167	danish::news_top_500
initiativer			168	danish::news_top_500
nyhedsbrevet			169	danish::news_top_500
muligt			170	danish::news_top_500
frie			171	danish::news_top_500
skoleåret			172	danish::news_top_500
folketingets			173	danish::news_top_500
høj			174	danish::news_top_500
går			175	danish::news_top_500
hvis			176	danish::news_top_500
resultater			177	danish::news_top_500
offentliggjort			178	danish::news_top_500
del			179	danish::news_top_500
samtidig			180	danish::news_top_500
evaluering			181	danish::news_top_500
årets			182	danish::news_top_500
indsats			183	danish::news_top_500
erhvervsuddannelse			184	danish::news_top_500
odense			185	danish::news_top_500
næste			186	danish::news_top_500
udfordringer			187	danish::news_top_500
mandag			188	danish::news_top_500
midler			189	danish::news_top_500
retningslinjer			190	danish::news_top_500
indsatser			191	danish::news_top_500
kommer			192	danish::news_top_500
inden			193	danish::news_top_500
december			194	danish::news_top_500
aftalen			195	danish::news_top_500
cirka			196	danish::news_top_500
voksne			197	danish::news_top_500
daginstitutioner			198	danish::news_top_500
udsatte			199	danish::news_top_500
dk			200	danish::news_top_500
fire			201	danish::news_top_500
grønne			202	danish::news_top_500
igen			203	danish::news_top_500
samt			204	danish::news_top_500
arbejdet			205	danish::news_top_500
landet			206	danish::news_top_500
matematik			207	danish::news_top_500
sin			208	danish::news_top_500
fravær			209	danish::news_top_500
endnu			210	danish::news_top_500
søge			211	danish::news_top_500
understøtte			212	danish::news_top_500
erhvervsskoler			213	danish::news_top_500
styrket			214	danish::news_top_500
afsætte			215	danish::news_top_500
uden			216	danish::news_top_500
under			217	danish::news_top_500
længere			218	danish::news_top_500
vejledning			219	danish::news_top_500
hjælpe			220	danish::news_top_500
personale			221	danish::news_top_500
gymnasier			222	danish::news_top_500
vi			223	danish::news_top_500
stort			224	danish::news_top_500
grund			225	danish::news_top_500
plads			226	danish::news_top_500
uddannelse			227	danish::news_top_500
børns			228	danish::news_top_500
udkommer			229	danish::news_top_500
samlet			230	danish::news_top_500
undervisningsminister			231	danish::news_top_500
efterskoler			232	danish::news_top_500
erhvervsuddannelsesområdet			233	danish::news_top_500
følge			234	danish::news_top_500
pulje			235	danish::news_top_500
skolerne			236	danish::news_top_500
børnehaver			237	danish::news_top_500
eud			238	danish::news_top_500
store			239	danish::news_top_500
kommende			240	danish::news_top_500
set			241	danish::news_top_500
man			242	danish::news_top_500
kvaliteten			243	danish::news_top_500
viden			244	danish::news_top_500
test			245	danish::news_top_500
sådan			246	danish::news_top_500
nogle			247	danish::news_top_500
tilskud			248	danish::news_top_500
august			249	danish::news_top_500
område			250	danish::news_top_500
måneden			251	danish::news_top_500
nr			252	danish::news_top_500
vej			253	danish::news_top_500
stor			254	danish::news_top_500
markant			255	danish::news_top_500
mindre			256	danish::news_top_500
forældre			257	danish::news_top_500
hver			258	danish::news_top_500
departementschef			259	danish::news_top_500
særlige			260	danish::news_top_500
antallet			261	danish::news_top_500
sker			262	danish::news_top_500
socialistisk			263	danish::news_top_500
særligt			264	danish::news_top_500
radikale			265	danish::news_top_500
skærpede			266	danish::news_top_500
yderligere			267	danish::news_top_500
bekendtgørelse			268	danish::news_top_500
samme			269	danish::news_top_500
tage			270	danish::news_top_500
sætter			271	danish::news_top_500
haft			272	danish::news_top_500
netop			273	danish::news_top_500
lærepladser			274	danish::news_top_500
gå			275	danish::news_top_500
gymnasiale			276	danish::news_top_500
skolen			277	danish::news_top_500
ordblinde			278	danish::news_top_500
it			279	danish::news_top_500
juni			280	danish::news_top_500
gør			281	danish::news_top_500
digital			282	danish::news_top_500
mens			283	danish::news_top_500
april			284	danish::news_top_500
opgørelse			285	danish::news_top_500
februar			286	danish::news_top_500
samarbejde			287	danish::news_top_500
pædagogisk			288	danish::news_top_500
bekymrende			289	danish::news_top_500
behov			290	danish::news_top_500
åbner			291	danish::news_top_500
løft			292	danish::news_top_500
nedlukning			293	danish::news_top_500
ungdomsuddannelse			294	danish::news_top_500
årligt			295	danish::news_top_500
indsatsen			296	danish::news_top_500
udviklingen			297	danish::news_top_500
sammen			298	danish::news_top_500
deltage			299	danish::news_top_500
fag			300	danish::news_top_500
omstilling			301	danish::news_top_500
offentliggør			302	danish::news_top_500
øget			303	danish::news_top_500
unges			304	danish::news_top_500
skoleår			305	danish::news_top_500
nedsætter			306	danish::news_top_500
vuggestuer			307	danish::news_top_500
nødundervisning			308	danish::news_top_500
smitten			309	danish::news_top_500
inviterer			310	danish::news_top_500
hjælp			311	danish::news_top_500
ind			312	danish::news_top_500
hvad			313	danish::news_top_500
maj			314	danish::news_top_500
penge			315	danish::news_top_500
fælles			316	danish::news_top_500
betyder			317	danish::news_top_500
var			318	danish::news_top_500
sociale			319	danish::news_top_500
dog			320	danish::news_top_500
godt			321	danish::news_top_500
mistrivsel			322	danish::news_top_500
sammenlignet			323	danish::news_top_500
afdelingschef			324	danish::news_top_500
baggrund			325	danish::news_top_500
fase			326	danish::news_top_500
rammerne			327	danish::news_top_500
alt			328	danish::news_top_500
sætte			329	danish::news_top_500
kommunale			330	danish::news_top_500
højere			331	danish::news_top_500
siden			332	danish::news_top_500
stopper			333	danish::news_top_500
led			334	danish::news_top_500
sundhedsstyrelsen			335	danish::news_top_500
udlodningsmidler			336	danish::news_top_500
præsenterer			337	danish::news_top_500
fysisk			338	danish::news_top_500
stuk			339	danish::news_top_500
enhedslisten			340	danish::news_top_500
stigende			341	danish::news_top_500
står			342	danish::news_top_500
fem			343	danish::news_top_500
større			344	danish::news_top_500
stemme			345	danish::news_top_500
været			346	danish::news_top_500
gennem			347	danish::news_top_500
folketingsvalget			348	danish::news_top_500
stigning			349	danish::news_top_500
unilogin			350	danish::news_top_500
oktober			351	danish::news_top_500
oplever			352	danish::news_top_500
indføre			353	danish::news_top_500
finanslov			354	danish::news_top_500
september			355	danish::news_top_500
tilsynsberetning			356	danish::news_top_500
gælder			357	danish::news_top_500
andetsprog			358	danish::news_top_500
kunne			359	danish::news_top_500
havde			360	danish::news_top_500
gøre			361	danish::news_top_500
allerede			362	danish::news_top_500
hverdag			363	danish::news_top_500
virksomheder			364	danish::news_top_500
seneste			365	danish::news_top_500
lokale			366	danish::news_top_500
året			367	danish::news_top_500
minister			368	danish::news_top_500
sikrer			369	danish::news_top_500
fritidstilbud			370	danish::news_top_500
dannelse			371	danish::news_top_500
alternativet			372	danish::news_top_500
genåbningen			373	danish::news_top_500
læringsfestival			374	danish::news_top_500
færre			375	danish::news_top_500
niveau			376	danish::news_top_500
da			377	danish::news_top_500
mener			378	danish::news_top_500
udvikle			379	danish::news_top_500
ekstra			380	danish::news_top_500
hos			381	danish::news_top_500
næsten			382	danish::news_top_500
bruges			383	danish::news_top_500
andelen			384	danish::news_top_500
problemer			385	danish::news_top_500
før			386	danish::news_top_500
hjem			387	danish::news_top_500
ukraine			388	danish::news_top_500
sendt			389	danish::news_top_500
betydning			390	danish::news_top_500
følger			391	danish::news_top_500
mål			392	danish::news_top_500
tesfaye			393	danish::news_top_500
private			394	danish::news_top_500
vinder			395	danish::news_top_500
elevers			396	danish::news_top_500
faglighed			397	danish::news_top_500
antisemitisme			398	danish::news_top_500
lærlinge			399	danish::news_top_500
målrettet			400	danish::news_top_500
undervise			401	danish::news_top_500
evalueringsinstitut			402	danish::news_top_500
årlige			403	danish::news_top_500
regeringens			404	danish::news_top_500
rådet			405	danish::news_top_500
fordrevne			406	danish::news_top_500
pressemøde			407	danish::news_top_500
voksenuddannelser			408	danish::news_top_500
udarbejdet			409	danish::news_top_500
ishøj			410	danish::news_top_500
fagligt			411	danish::news_top_500
generelt			412	danish::news_top_500
praktisk			413	danish::news_top_500
tilsynsplanen			414	danish::news_top_500
videre			415	danish::news_top_500
foreslår			416	danish::news_top_500
møde			417	danish::news_top_500
tid			418	danish::news_top_500
må			419	danish::news_top_500
rammer			420	danish::news_top_500
lettere			421	danish::news_top_500
fået			422	danish::news_top_500
dem			423	danish::news_top_500
bag			424	danish::news_top_500
svarer			425	danish::news_top_500
hjælpemidler			426	danish::news_top_500
politisk			427	danish::news_top_500
løfte			428	danish::news_top_500
mattias			429	danish::news_top_500
søger			430	danish::news_top_500
videnscenter			431	danish::news_top_500
fagskoler			432	danish::news_top_500
kompetencer			433	danish::news_top_500
dagtilbudsområdet			434	danish::news_top_500
resultaterne			435	danish::news_top_500
puljen			436	danish::news_top_500
formandskabet			437	danish::news_top_500
overblikket			438	danish::news_top_500
mv			439	danish::news_top_500
udvides			440	danish::news_top_500
nødpasning			441	danish::news_top_500
formand			442	danish::news_top_500
uge			443	danish::news_top_500
tager			444	danish::news_top_500
overblik			445	danish::news_top_500
stadig			446	danish::news_top_500
fremtiden			447	danish::news_top_500
lancerer			448	danish::news_top_500
fald			449	danish::news_top_500
finde			450	danish::news_top_500
års			451	danish::news_top_500
fysiske			452	danish::news_top_500
trods			453	danish::news_top_500
projekter			454	danish::news_top_500
tirsdag			455	danish::news_top_500
national			456	danish::news_top_500
lovforslag			457	danish::news_top_500
ordblindetesten			458	danish::news_top_500
arbejdsgruppe			459	danish::news_top_500
læsning			460	danish::news_top_500
november			461	danish::news_top_500
finansloven			462	danish::news_top_500
afsætter			463	danish::news_top_500
millionbeløb			464	danish::news_top_500
inspiration			465	danish::news_top_500
aktiviteter			466	danish::news_top_500
smitte			467	danish::news_top_500
sprogvurdering			468	danish::news_top_500
retningslinjerne			469	danish::news_top_500
vende			470	danish::news_top_500
prosa			471	danish::news_top_500
selv			472	danish::news_top_500
borgere			473	danish::news_top_500
fleste			474	danish::news_top_500
dermed			475	danish::news_top_500
skabe			476	danish::news_top_500
begynder			477	danish::news_top_500
anden			478	danish::news_top_500
konsekvenser			479	danish::news_top_500
center			480	danish::news_top_500
øge			481	danish::news_top_500
prøve			482	danish::news_top_500
forslag			483	danish::news_top_500
krav			484	danish::news_top_500
ti			485	danish::news_top_500
pædagoger			486	danish::news_top_500
bidrage			487	danish::news_top_500
epx			488	danish::news_top_500
holocaust			489	danish::news_top_500
socialdemokratiet			490	danish::news_top_500
høring			491	danish::news_top_500
gode			492	danish::news_top_500
gavn			493	danish::news_top_500
forskelle			494	danish::news_top_500
minimumsnormeringer			495	danish::news_top_500
skolestart			496	danish::news_top_500
forberedende			497	danish::news_top_500
grunduddannelse			498	danish::news_top_500
mundbind			499	danish::news_top_500
pernille			500	danish::news_top_500
