Danish,English,PartOfSpeech,Example,Tags,frequency_rank,count,normalized_frequency
vej,,,,danish::news_top_500,253,24,0.0005099764135908714
stor,,,,danish::news_top_500,254,24,0.0005099764135908714
markant,,,,danish::news_top_500,255,24,0.0005099764135908714
mindre,,,,danish::news_top_500,256,24,0.0005099764135908714
forældre,,,,danish::news_top_500,257,24,0.0005099764135908714
hver,,,,danish::news_top_500,258,24,0.0005099764135908714
departementschef,,,,danish::news_top_500,259,24,0.0005099764135908714
særlige,,,,danish::news_top_500,260,24,0.0005099764135908714
antallet,,,,danish::news_top_500,261,24,0.0005099764135908714
sker,,,,danish::news_top_500,262,24,0.0005099764135908714
socialistisk,,,,danish::news_top_500,263,24,0.0005099764135908714
særligt,,,,danish::news_top_500,264,24,0.0005099764135908714
radikale,,,,danish::news_top_500,265,24,0.0005099764135908714
skærpede,,,,danish::news_top_500,266,24,0.0005099764135908714
yderligere,,,,danish::news_top_500,267,24,0.0005099764135908714
bekendtgørelse,,,,danish::news_top_500,268,24,0.0005099764135908714
samme,,,,danish::news_top_500,269,23,0.0004887273963579185
tage,,,,danish::news_top_500,270,23,0.0004887273963579185
sætter,,,,danish::news_top_500,271,23,0.0004887273963579185
haft,,,,danish::news_top_500,272,23,0.0004887273963579185
netop,,,,danish::news_top_500,273,23,0.0004887273963579185
lærepladser,,,,danish::news_top_500,274,23,0.0004887273963579185
gå,,,,danish::news_top_500,275,23,0.0004887273963579185
gymnasiale,,,,danish::news_top_500,276,23,0.0004887273963579185
skolen,,,,danish::news_top_500,277,23,0.0004887273963579185
ordblinde,,,,danish::news_top_500,278,23,0.0004887273963579185
it,,,,danish::news_top_500,279,22,0.0004674783791249655
juni,,,,danish::news_top_500,280,22,0.0004674783791249655
gør,,,,danish::news_top_500,281,22,0.0004674783791249655
digital,,,,danish::news_top_500,282,22,0.0004674783791249655
mens,,,,danish::news_top_500,283,22,0.0004674783791249655
april,,,,danish::news_top_500,284,22,0.0004674783791249655
opgørelse,,,,danish::news_top_500,285,22,0.0004674783791249655
februar,,,,danish::news_top_500,286,22,0.0004674783791249655
samarbejde,,,,danish::news_top_500,287,22,0.0004674783791249655
pædagogisk,,,,danish::news_top_500,288,22,0.0004674783791249655
bekymrende,,,,danish::news_top_500,289,22,0.0004674783791249655
behov,,,,danish::news_top_500,290,22,0.0004674783791249655
åbner,,,,danish::news_top_500,291,22,0.0004674783791249655
løft,,,,danish::news_top_500,292,22,0.0004674783791249655
nedlukning,,,,danish::news_top_500,293,22,0.0004674783791249655
ungdomsuddannelse,,,,danish::news_top_500,294,22,0.0004674783791249655
årligt,,,,danish::news_top_500,295,21,0.0004462293618920125
indsatsen,,,,danish::news_top_500,296,21,0.0004462293618920125
udviklingen,,,,danish::news_top_500,297,21,0.0004462293618920125
sammen,,,,danish::news_top_500,298,21,0.0004462293618920125
deltage,,,,danish::news_top_500,299,21,0.0004462293618920125
fag,,,,danish::news_top_500,300,21,0.0004462293618920125
omstilling,,,,danish::news_top_500,301,21,0.0004462293618920125
offentliggør,,,,danish::news_top_500,302,21,0.0004462293618920125
øget,,,,danish::news_top_500,303,21,0.0004462293618920125
unges,,,,danish::news_top_500,304,21,0.0004462293618920125
skoleår,,,,danish::news_top_500,305,21,0.0004462293618920125
nedsætter,,,,danish::news_top_500,306,21,0.0004462293618920125
vuggestuer,,,,danish::news_top_500,307,21,0.0004462293618920125
nødundervisning,,,,danish::news_top_500,308,21,0.0004462293618920125
smitten,,,,danish::news_top_500,309,21,0.0004462293618920125
inviterer,,,,danish::news_top_500,310,20,0.0004249803446590595
hjælp,,,,danish::news_top_500,311,20,0.0004249803446590595
ind,,,,danish::news_top_500,312,20,0.0004249803446590595
hvad,,,,danish::news_top_500,313,20,0.0004249803446590595
maj,,,,danish::news_top_500,314,20,0.0004249803446590595
penge,,,,danish::news_top_500,315,20,0.0004249803446590595
fælles,,,,danish::news_top_500,316,20,0.0004249803446590595
betyder,,,,danish::news_top_500,317,20,0.0004249803446590595
var,,,,danish::news_top_500,318,20,0.0004249803446590595
sociale,,,,danish::news_top_500,319,20,0.0004249803446590595
dog,,,,danish::news_top_500,320,20,0.0004249803446590595
godt,,,,danish::news_top_500,321,20,0.0004249803446590595
mistrivsel,,,,danish::news_top_500,322,20,0.0004249803446590595
sammenlignet,,,,danish::news_top_500,323,20,0.0004249803446590595
afdelingschef,,,,danish::news_top_500,324,20,0.0004249803446590595
baggrund,,,,danish::news_top_500,325,20,0.0004249803446590595
fase,,,,danish::news_top_500,326,20,0.0004249803446590595
rammerne,,,,danish::news_top_500,327,19,0.0004037313274261065
alt,,,,danish::news_top_500,328,19,0.0004037313274261065
sætte,,,,danish::news_top_500,329,19,0.0004037313274261065
kommunale,,,,danish::news_top_500,330,19,0.0004037313274261065
højere,,,,danish::news_top_500,331,19,0.0004037313274261065
siden,,,,danish::news_top_500,332,19,0.0004037313274261065
stopper,,,,danish::news_top_500,333,19,0.0004037313274261065
led,,,,danish::news_top_500,334,19,0.0004037313274261065
sundhedsstyrelsen,,,,danish::news_top_500,335,19,0.0004037313274261065
udlodningsmidler,,,,danish::news_top_500,336,19,0.0004037313274261065
præsenterer,,,,danish::news_top_500,337,19,0.0004037313274261065
fysisk,,,,danish::news_top_500,338,19,0.0004037313274261065
stuk,,,,danish::news_top_500,339,19,0.0004037313274261065
enhedslisten,,,,danish::news_top_500,340,19,0.0004037313274261065
stigende,,,,danish::news_top_500,341,18,0.00038248231019315357
står,,,,danish::news_top_500,342,18,0.00038248231019315357
fem,,,,danish::news_top_500,343,18,0.00038248231019315357
større,,,,danish::news_top_500,344,18,0.00038248231019315357
stemme,,,,danish::news_top_500,345,18,0.00038248231019315357
været,,,,danish::news_top_500,346,18,0.00038248231019315357
gennem,,,,danish::news_top_500,347,18,0.00038248231019315357
folketingsvalget,,,,danish::news_top_500,348,18,0.00038248231019315357
stigning,,,,danish::news_top_500,349,18,0.00038248231019315357
unilogin,,,,danish::news_top_500,350,18,0.00038248231019315357
oktober,,,,danish::news_top_500,351,18,0.00038248231019315357
oplever,,,,danish::news_top_500,352,18,0.00038248231019315357
indføre,,,,danish::news_top_500,353,18,0.00038248231019315357
finanslov,,,,danish::news_top_500,354,18,0.00038248231019315357
september,,,,danish::news_top_500,355,18,0.00038248231019315357
tilsynsberetning,,,,danish::news_top_500,356,18,0.00038248231019315357
gælder,,,,danish::news_top_500,357,18,0.00038248231019315357
andetsprog,,,,danish::news_top_500,358,18,0.00038248231019315357
kunne,,,,danish::news_top_500,359,17,0.0003612332929602006
havde,,,,danish::news_top_500,360,17,0.0003612332929602006
gøre,,,,danish::news_top_500,361,17,0.0003612332929602006
allerede,,,,danish::news_top_500,362,17,0.0003612332929602006
hverdag,,,,danish::news_top_500,363,17,0.0003612332929602006
virksomheder,,,,danish::news_top_500,364,17,0.0003612332929602006
seneste,,,,danish::news_top_500,365,17,0.0003612332929602006
lokale,,,,danish::news_top_500,366,17,0.0003612332929602006
året,,,,danish::news_top_500,367,17,0.0003612332929602006
minister,,,,danish::news_top_500,368,17,0.0003612332929602006
sikrer,,,,danish::news_top_500,369,17,0.0003612332929602006
fritidstilbud,,,,danish::news_top_500,370,17,0.0003612332929602006
dannelse,,,,danish::news_top_500,371,17,0.0003612332929602006
alternativet,,,,danish::news_top_500,372,17,0.0003612332929602006
genåbningen,,,,danish::news_top_500,373,17,0.0003612332929602006
læringsfestival,,,,danish::news_top_500,374,17,0.0003612332929602006
færre,,,,danish::news_top_500,375,17,0.0003612332929602006
niveau,,,,danish::news_top_500,376,17,0.0003612332929602006
da,,,,danish::news_top_500,377,16,0.0003399842757272476
mener,,,,danish::news_top_500,378,16,0.0003399842757272476
udvikle,,,,danish::news_top_500,379,16,0.0003399842757272476
ekstra,,,,danish::news_top_500,380,16,0.0003399842757272476
hos,,,,danish::news_top_500,381,16,0.0003399842757272476
næsten,,,,danish::news_top_500,382,16,0.0003399842757272476
bruges,,,,danish::news_top_500,383,16,0.0003399842757272476
andelen,,,,danish::news_top_500,384,16,0.0003399842757272476
problemer,,,,danish::news_top_500,385,16,0.0003399842757272476
før,,,,danish::news_top_500,386,16,0.0003399842757272476
hjem,,,,danish::news_top_500,387,16,0.0003399842757272476
ukraine,,,,danish::news_top_500,388,16,0.0003399842757272476
sendt,,,,danish::news_top_500,389,16,0.0003399842757272476
betydning,,,,danish::news_top_500,390,16,0.0003399842757272476
følger,,,,danish::news_top_500,391,16,0.0003399842757272476
mål,,,,danish::news_top_500,392,16,0.0003399842757272476
tesfaye,,,,danish::news_top_500,393,16,0.0003399842757272476
private,,,,danish::news_top_500,394,16,0.0003399842757272476
vinder,,,,danish::news_top_500,395,16,0.0003399842757272476
elevers,,,,danish::news_top_500,396,16,0.0003399842757272476
faglighed,,,,danish::news_top_500,397,16,0.0003399842757272476
antisemitisme,,,,danish::news_top_500,398,16,0.0003399842757272476
lærlinge,,,,danish::news_top_500,399,16,0.0003399842757272476
målrettet,,,,danish::news_top_500,400,16,0.0003399842757272476
undervise,,,,danish::news_top_500,401,16,0.0003399842757272476
evalueringsinstitut,,,,danish::news_top_500,402,16,0.0003399842757272476
årlige,,,,danish::news_top_500,403,16,0.0003399842757272476
regeringens,,,,danish::news_top_500,404,16,0.0003399842757272476
rådet,,,,danish::news_top_500,405,16,0.0003399842757272476
fordrevne,,,,danish::news_top_500,406,16,0.0003399842757272476
pressemøde,,,,danish::news_top_500,407,16,0.0003399842757272476
voksenuddannelser,,,,danish::news_top_500,408,16,0.0003399842757272476
udarbejdet,,,,danish::news_top_500,409,16,0.0003399842757272476
ishøj,,,,danish::news_top_500,410,16,0.0003399842757272476
fagligt,,,,danish::news_top_500,411,16,0.0003399842757272476
generelt,,,,danish::news_top_500,412,16,0.0003399842757272476
praktisk,,,,danish::news_top_500,413,16,0.0003399842757272476
tilsynsplanen,,,,danish::news_top_500,414,16,0.0003399842757272476
videre,,,,danish::news_top_500,415,15,0.00031873525849429466
foreslår,,,,danish::news_top_500,416,15,0.00031873525849429466
møde,,,,danish::news_top_500,417,15,0.00031873525849429466
tid,,,,danish::news_top_500,418,15,0.00031873525849429466
må,,,,danish::news_top_500,419,15,0.00031873525849429466
rammer,,,,danish::news_top_500,420,15,0.00031873525849429466
lettere,,,,danish::news_top_500,421,15,0.00031873525849429466
fået,,,,danish::news_top_500,422,15,0.00031873525849429466
dem,,,,danish::news_top_500,423,15,0.00031873525849429466
bag,,,,danish::news_top_500,424,15,0.00031873525849429466
svarer,,,,danish::news_top_500,425,15,0.00031873525849429466
hjælpemidler,,,,danish::news_top_500,426,15,0.00031873525849429466
politisk,,,,danish::news_top_500,427,15,0.00031873525849429466
løfte,,,,danish::news_top_500,428,15,0.00031873525849429466
mattias,,,,danish::news_top_500,429,15,0.00031873525849429466
søger,,,,danish::news_top_500,430,15,0.00031873525849429466
videnscenter,,,,danish::news_top_500,431,15,0.00031873525849429466
fagskoler,,,,danish::news_top_500,432,15,0.00031873525849429466
kompetencer,,,,danish::news_top_500,433,15,0.00031873525849429466
dagtilbudsområdet,,,,danish::news_top_500,434,15,0.00031873525849429466
resultaterne,,,,danish::news_top_500,435,15,0.00031873525849429466
puljen,,,,danish::news_top_500,436,15,0.00031873525849429466
formandskabet,,,,danish::news_top_500,437,15,0.00031873525849429466
overblikket,,,,danish::news_top_500,438,15,0.00031873525849429466
mv,,,,danish::news_top_500,439,15,0.00031873525849429466
udvides,,,,danish::news_top_500,440,15,0.00031873525849429466
nødpasning,,,,danish::news_top_500,441,15,0.00031873525849429466
formand,,,,danish::news_top_500,442,14,0.00029748624126134165
uge,,,,danish::news_top_500,443,14,0.00029748624126134165
tager,,,,danish::news_top_500,444,14,0.00029748624126134165
overblik,,,,danish::news_top_500,445,14,0.00029748624126134165
stadig,,,,danish::news_top_500,446,14,0.00029748624126134165
fremtiden,,,,danish::news_top_500,447,14,0.00029748624126134165
lancerer,,,,danish::news_top_500,448,14,0.00029748624126134165
fald,,,,danish::news_top_500,449,14,0.00029748624126134165
finde,,,,danish::news_top_500,450,14,0.00029748624126134165
års,,,,danish::news_top_500,451,14,0.00029748624126134165
fysiske,,,,danish::news_top_500,452,14,0.00029748624126134165
trods,,,,danish::news_top_500,453,14,0.00029748624126134165
projekter,,,,danish::news_top_500,454,14,0.00029748624126134165
tirsdag,,,,danish::news_top_500,455,14,0.00029748624126134165
national,,,,danish::news_top_500,456,14,0.00029748624126134165
lovforslag,,,,danish::news_top_500,457,14,0.00029748624126134165
ordblindetesten,,,,danish::news_top_500,458,14,0.00029748624126134165
arbejdsgruppe,,,,danish::news_top_500,459,14,0.00029748624126134165
læsning,,,,danish::news_top_500,460,14,0.00029748624126134165
november,,,,danish::news_top_500,461,14,0.00029748624126134165
finansloven,,,,danish::news_top_500,462,14,0.00029748624126134165
afsætter,,,,danish::news_top_500,463,14,0.00029748624126134165
millionbeløb,,,,danish::news_top_500,464,14,0.00029748624126134165
inspiration,,,,danish::news_top_500,465,14,0.00029748624126134165
aktiviteter,,,,danish::news_top_500,466,14,0.00029748624126134165
smitte,,,,danish::news_top_500,467,14,0.00029748624126134165
sprogvurdering,,,,danish::news_top_500,468,14,0.00029748624126134165
retningslinjerne,,,,danish::news_top_500,469,14,0.00029748624126134165
vende,,,,danish::news_top_500,470,14,0.00029748624126134165
prosa,,,,danish::news_top_500,471,13,0.0002762372240283887
selv,,,,danish::news_top_500,472,13,0.0002762372240283887
borgere,,,,danish::news_top_500,473,13,0.0002762372240283887
fleste,,,,danish::news_top_500,474,13,0.0002762372240283887
dermed,,,,danish::news_top_500,475,13,0.0002762372240283887
skabe,,,,danish::news_top_500,476,13,0.0002762372240283887
begynder,,,,danish::news_top_500,477,13,0.0002762372240283887
anden,,,,danish::news_top_500,478,13,0.0002762372240283887
konsekvenser,,,,danish::news_top_500,479,13,0.0002762372240283887
center,,,,danish::news_top_500,480,13,0.0002762372240283887
øge,,,,danish::news_top_500,481,13,0.0002762372240283887
prøve,,,,danish::news_top_500,482,13,0.0002762372240283887
forslag,,,,danish::news_top_500,483,13,0.0002762372240283887
krav,,,,danish::news_top_500,484,13,0.0002762372240283887
ti,,,,danish::news_top_500,485,13,0.0002762372240283887
pædagoger,,,,danish::news_top_500,486,13,0.0002762372240283887
bidrage,,,,danish::news_top_500,487,13,0.0002762372240283887
epx,,,,danish::news_top_500,488,13,0.0002762372240283887
holocaust,,,,danish::news_top_500,489,13,0.0002762372240283887
socialdemokratiet,,,,danish::news_top_500,490,13,0.0002762372240283887
høring,,,,danish::news_top_500,491,13,0.0002762372240283887
gode,,,,danish::news_top_500,492,13,0.0002762372240283887
gavn,,,,danish::news_top_500,493,13,0.0002762372240283887
forskelle,,,,danish::news_top_500,494,13,0.0002762372240283887
minimumsnormeringer,,,,danish::news_top_500,495,13,0.0002762372240283887
skolestart,,,,danish::news_top_500,496,13,0.0002762372240283887
forberedende,,,,danish::news_top_500,497,13,0.0002762372240283887
grunduddannelse,,,,danish::news_top_500,498,13,0.0002762372240283887
mundbind,,,,danish::news_top_500,499,13,0.0002762372240283887
pernille,,,,danish::news_top_500,500,13,0.0002762372240283887
